disease_id,disease_name,disease_link,disease_img,symptoms,symptom_ids,related_diseases,related_disease_ids,department,synonyms
31727,결핵성 복막염(Tuberculous peritonitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31727,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004180,"복부팽만감, 오심, 복부 통증, 열, 권태감, 빈호흡, 빈맥, 체중감소, 발한, 압통, 복수, 식욕부진","SS000402,SS000416,SS000398,SS000684,SS000735,SS000875,SS000874,SS000712,SS000650,SS000439,SS000403,SS000103","결핵성 골수염, 결핵성 수막염, 폐결핵, 위장관 결핵, 결핵, 결핵성 임파선염, 복막염, 속립성 결핵","31719,31672,31847,31726,32191,31741,31913,31744",감염내과,
31672,결핵성 수막염(Tuberculous meningitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31672,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004390,"두통, 시야장애, 열, 눈운동신경마비, 혼수, 졸림","SS000284,SS000206,SS000684,SS000184,SS000337,SS000325",후천성 면역결핍증,31627,"감염내과, 
																신경과",결핵성 뇌수막염
31741,결핵성 임파선염(Tuberculous lymphadenitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31741,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004600,"목 주변 부종, 피로감, 체중감소, 열, 고름, 발한, 피부궤양, 목의 통증, 식욕부진","SS000347,SS000723,SS000712,SS000684,SS000787,SS000650,SS000848,SS000350,SS000103","결핵성 복막염, 결핵성 수막염, 결핵, 폐결핵, 위장관 결핵, 결핵성 골수염, 속립성 결핵","31727,31672,32191,31847,31726,31719,31744",감염내과,결핵성 임파선
31740,경부 림프절염(Cervical lymphadenitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31740,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004411,"통증 없는 부종, 압통, 열","SS000719,SS000439,SS000684","풍진, 홍역, 아데노이드의 비대를 동반한 편도의 비대, 결핵성 임파선염, 림프관종, 림프종, 임파선염, 이하선염, 편도선염, 림프부종","31612,31607,31959,31741,31593,30904,32121,32445,32442,32145","감염내과, 
																이비인후과","경부 림프절,경부 림프절종대,목의 급성 림프절염"
31546,곰팡이 감염(Fungal infection),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31546,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004115,"발가락 사이 갈라짐, 손,발톱이 갈라짐, 피부 각질, 피부소양감","SS000807,SS000514,SS000842,SS000740","진균성 각막 궤양, 어린선, 조갑백선, 무좀","32237,32485,31678,31677",피부과,곰팡이질환
31609,광견병(Rabies),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31609,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003927,"혼수, 열, 뇌염증상, 뇌전증 발작, 호흡곤란, 구토, 근육강직, 두통","SS000337,SS000684,SS000281,SS000591,SS000908,SS000386,SS000614,SS000284",길랑-바레 증후군,31904,감염내과,"공수병,광견병 바이러스"
31632,광우병(Bovine spongiform encephalopathy),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31632,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004400,"치매, 정신 지체, 이상행동, 기억장애","SS000328,SS000135,SS000121,SS000269","크로이츠펠트-야콥병, 치매","31655,31575","감염내과, 
																신경과, 
																신경외과",
32151,구순염(Cheilitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32151,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003679,"입 주변 부종, 입술 갈라짐, 소양감","SS000570,SS000571,SS000820",구순포진,32160,피부과,
32160,구순포진(Herpes labialis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32160,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003780,"작열감, 물집, 소양감, 피부색 변화","SS000590,SS000801,SS000820,SS000851","대상포진, 헤르페스 바이러스 감염, 아토피성 피부염, 대상포진 후 신경통","31541,31538,31519,31888","감염내과, 
																피부과",입술포진
31661,급성 바이러스성 간염(Acute viral hepatitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31661,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004325,"황달, 근육통, 감기 증상, 식욕부진, 권태감, 피로감, 구토, 피부소양감, 관절통, 피부 긴장도 저하, 오심, 복부 통증","SS000857,SS000618,SS000594,SS000103,SS000735,SS000723,SS000386,SS000740,SS000779,SS000844,SS000416,SS000398","전격성 간염, 급성 A형 간염, 자가면역성 간염, 만성 B형 간염, 만성 C형 간염, 간염, 독성 간염, 급성 B형 간염, 급성 C형 간염","30481,31626,31676,31680,31682,31687,31690,32095,32096","소화기내과, 
																간담도췌외과, 
																간이식ㆍ간담도외과","Viral Hepatitis,바이러스 간염,바이러스성 간염"
31725,급성 위장염(Acute gastroenteritis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31725,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004241,"복부 통증, 열, 구토, 설사, 탈수, 두통, 복부팽만감","SS000398,SS000684,SS000386,SS000527,SS000718,SS000284,SS000402","대장균 감염, 세균성 이질, 바이러스성 장염, 아메바성 이질, 식중독, 장출혈성 대장균 감염증, 위막성 대장염","31617,31667,31684,32126,32324,32127,32108","가정의학과, 
																소화기내과, 
																노년내과, 
																소아외과, 
																소아내분비대사과, 
																소아신장과, 
																소아소화기영양과","위장염,급성 위염"
31827,급성 질염(Acute vaginitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31827,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004401,"악취, 배뇨곤란, 비정상적 질 분비물, 소양감, 작열감, 배뇨 시 통증","SS000492,SS000009,SS000452,SS000820,SS000590,SS000449","트리코모나스증, 노인성 질염, 칸디다성 외음질염","31940,31939,31929",산부인과,질염
33905,기쿠치병(Kikuchi Disease),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33905,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000033298,"발진, 관절통, 피로감, 체중감소, 식욕부진, 열, 경부 림프절병증","SS000810,SS000779,SS000723,SS000712,SS000103,SS000684,SS000341","백혈병, 전신 홍반성 낭창, 비호지킨 림프종, 호지킨 림프종","30895,30802,30458,30471","감염내과, 
																이비인후과, 
																류마티스내과","기꾸찌 병,아급성 괴사성 임파선염,Histiocytic necrotizing lymphadenopathy,Kikuchi-Fujimoto disease(KFD)"
33444,"난소난관염(Oophoritis, Ovaritis)",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33444,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003556,"비정상적 질출혈, 복부 통증, 열, 비정상적 질 분비물","SS000453,SS000398,SS000684,SS000452","복막염, 임질, 성병, 난소, 난관 이상, 여성 불임, 골반 염증성 질환, 자궁 외 임신","31913,32217,32221,31944,31932,31825,31946",산부인과,"Oophortis,Ovaritis,난관난소염,난관염,난소염,자궁관난소염"
33451,노로바이러스 장염(Norovirus Gastroenteritis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33451,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003877,"오심, 복부 통증, 설사, 근육통, 오한, 권태감, 두통, 열, 구토, 복부 불편감","SS000416,SS000398,SS000527,SS000618,SS000687,SS000735,SS000284,SS000684,SS000386,SS000396","급성 위장염, 식중독, 바이러스성 장염","31725,32324,31684","소화기내과, 
																소아소화기영양과","Norovirus,노로바이러스,노로바이러스식중독"
32751,노카르디아증(Nocardiosis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32751,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003817,"열, 기침, 체중감소, 객혈","SS000684,SS000868,SS000712,SS000863","뇌농양, 박테리아성 뇌수막염, 폐렴","33710,31723,31631","감염내과, 
																소아감염과",노카르디아 폐렴
33710,뇌농양(Brain abscess),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33710,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003650,"오심, 구토, 열, 경련, 성격의변화, 두통","SS000416,SS000386,SS000684,SS000598,SS000093,SS000284","양성 뇌종양, 뇌종양, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 만성 중이염, 심내막염, 급성 중이염, 부비동염","30499,30490,31721,31723,31953,32143,32178,31530","감염내과, 
																신경외과",
32162,뇌염(Encephalitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32162,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004582,"시력 감소, 오한, 경련, 경부 강직, 두통, 기운없음, 구토, 정신 혼미, 의식 저하, 방향감각 상실, 열","SS000204,SS000687,SS000598,SS000340,SS000284,SS000621,SS000386,SS000136,SS000320,SS000294,SS000684","바이러스성 뇌수막염, 박테리아성 뇌수막염, 일본 뇌염","31721,31723,32164","신경과, 
																소아신경과",수막뇌염
32296,단독(Erysipelas),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32296,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004699,"림프 부종, 열감, 오한, 발진, 환부 통증","SS000635,SS000685,SS000687,SS000810,SS000730","혈관부종, 접촉 피부염","31518,31534","가정의학과, 
																피부과",단독증
33912,단순 포진(Herpes Simplex),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33912,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000041618_nfDQoh,"작열감, 물집, 소양감","SS000590,SS000801,SS000820","대상포진, 단순 포진성 뇌염, 헤르페스 바이러스 감염","31541,32838,31538",피부과,
32838,단순 포진성 뇌염(Herpes simplex encephalitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32838,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004061,"뇌전증 발작, 의식 변화, 두통, 언어장애, 열","SS000591,SS000319,SS000284,SS000306,SS000684","헤르페스 바이러스 감염, 대상포진, 바이러스성 뇌수막염, 구순포진, 대상포진 후 신경통, 뇌염, 박테리아성 뇌수막염","31538,31541,31721,32160,31888,32162,31723","감염내과, 
																신경과",
31541,대상포진(Herpes zoster),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31541,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004225,"두통, 환부 통증, 딱지, 발진","SS000284,SS000730,SS000797,SS000810","구순포진, 대상포진 후 신경통, 헤르페스 바이러스 감염, 수두","32160,31888,31538,31614",피부과,"Zoster,shingles"
31888,대상포진 후 신경통(Postzoster neuralgia),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31888,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004213,환부 통증,SS000730,대상포진,31541,"마취통증의학과, 
																신경과, 
																신경외과, 
																피부과",대상포진신경통
31617,대장균 감염(Escherichia coli (E. coli) infection),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31617,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004347,"구토, 설사, 두통, 복부 통증","SS000386,SS000527,SS000284,SS000398","요로 감염, 식중독, 바이러스성 장염, 급성 방광염","30662,32324,31684,31736",감염내과,대장균
32161,뎅기열(Dengue fever),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32161,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004765,"반점, 식욕부진, 발진, 두통, 근육통, 관절통, 열","SS000806,SS000103,SS000810,SS000284,SS000618,SS000779,SS000684","황열, 말라리아","31673,31745",감염내과,뎅귀열
32297,돌발성 발진(Exanthem subitum),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32297,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004698,"보챔, 식욕부진, 발진, 반점","SS000653,SS000103,SS000810,SS000806",헤르페스 바이러스 감염,31538,"소아내분비대사과, 
																소아소화기영양과, 
																소아감염과","roseola infantum,돌발발진,돌발진,소아 장미진,영아 발진"
32778,두부 백선(Tinea Capitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32778,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003563,"피부 각질, 체모감소, 피부소양감","SS000842,SS000835,SS000740","곰팡이 감염, 무좀, 비듬, 탈모증","31546,31677,32480,32465",피부과,"기계충,독창,머리 백선"
31852,두통(Headache),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31852,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004363,"압통, 눈이 무거운 느낌, 박동성 통증, 뇌압상승증상","SS000439,SS000189,SS000293,SS000280","넬슨 증후군, 자발성 두개강 내 출혈, 급성 A형 간염, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 미세혈관병용혈빈혈, 새집 증후군, 군발성 두통 증후군, 편두통, 근육 긴장성 두통, 외상성 경막하 출혈, 지주막하 출혈, 뇌종양, 양성 뇌종양, 뎅기열, 뇌염, 급성 B형 간염, 급성 C형 간염, 말단비대증, 호흡성 산증, 독성 쇼크 증후군, 대사성 산증, 일본 뇌염","32153,30517,31626,31721,31723,31792,32085,31870,31876,31881,31892,31924,30490,30499,32161,32162,32095,32096,32282,32311,32315,32318,32164","노년내과, 
																신경과, 
																신경외과, 
																소아신경과",머리의 통증
31597,디프테리아(Diphtheritia),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31597,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004516,"목의 통증, 기침, 열, 기운없음, 빈맥, 콧물","SS000350,SS000868,SS000684,SS000621,SS000874,SS000748",해외여행 시 주의사항,31693,감염내과,
33614,라싸열(Lassa fever ),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33614,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003968,"뇌염증상, 열, 청력장애, 가슴 통증, 결막염, 얼굴부종, 구토, 단백뇨, 근육통","SS000281,SS000684,SS000054,SS000862,SS000167,SS000310,SS000386,SS000006,SS000618","출혈성 결막염, 에볼라 출혈열","32226,33611","감염내과, 
																어린이병원","라사열,라사피버,라싸피버"
31664,라임병(Lyme disease),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31664,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004351,"관절통, 오한, 안구혼탁, 열, 피로감, 근육통, 두통, 수면장애, 발진","SS000779,SS000687,SS000217,SS000684,SS000723,SS000618,SS000284,SS000102,SS000810",관절염,31713,"감염내과, 
																피부과",
33891,레지오넬라증(Legionella),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33891,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032351,"설사, 두통, 기침, 오한, 오심, 구토, 목의 통증, 근육통, 콧물, 권태감, 열","SS000527,SS000284,SS000868,SS000687,SS000416,SS000386,SS000350,SS000618,SS000748,SS000735,SS000684","저혈압, 급성 신우신염, 인플루엔자, 만성 신부전, 급성 신부전, 상기도 감염, 신부전, 만성 신우신염, 지역사회성 폐렴, 병원 감염성 폐렴, 부비동염, 폐렴, 폐렴간균에 의한 폐렴, 흡인성 폐렴, 폐 농양","32144,31737,31620,31973,31971,31816,31798,33876,31742,31743,31530,31631,32495,32494,32493",감염내과,"레지오넬라 감염증,레지오네라,재향군인병,Pontiac fever,폰티악열,여름 감기,레지오넬라 폐렴"
31606,렙토스피라증(Leptospirosis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31606,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003904,"신부전, 수막자극증상, 두통, 안구내 출혈, 간부전, 열, 오한, 황달, 근육통","SS000672,SS000299,SS000284,SS000213,SS000383,SS000684,SS000687,SS000857,SS000618",신증후성 출혈열,32190,감염내과,"7일열,논농부병,농부병,와일씨병"
31663,리스테리아(Listeria),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31663,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004350,"근육통, 열, 설사, 구토, 두통","SS000618,SS000684,SS000527,SS000386,SS000284","패혈증, 박테리아성 뇌수막염","32319,31723",감염내과,"리스테리아병,리스테리아증,회선병"
33892,마버그열(Marburg hemorrhagic fever),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33892,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032352,"근육통, 기침, 두통, 오한, 권태감, 열","SS000618,SS000868,SS000284,SS000687,SS000735,SS000684","파종혈관내응고, 황열, 에볼라 출혈열, 뎅기열, 라싸열","31795,31673,33611,32161,33614",감염내과,"마버그 출혈열,마르부르크 출혈열"
31682,만성 C형 간염(Chronic hepatitis C),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31682,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004335,"황달, 무증상, 복부 불편감, 소화불량, 피로감","SS000857,SS000077,SS000396,SS000407,SS000723","만성 B형 간염, 간염, 독성 간염, 급성 바이러스성 간염, 전격성 간염, 간세포암, 간경화, 급성 C형 간염","31680,31687,31690,31661,30481,30463,30480,32096",소화기내과,C형간염
31745,말라리아(Malaria),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31745,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004379,"식욕부진, 열, 오한, 두통","SS000103,SS000684,SS000687,SS000284",뎅기열,32161,감염내과,"3일열,4일열,하루거리열,학질"
31734,매독(Syphilis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31734,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004279,무증상,SS000077,"임질, 남성 불임, 비임균성 요도염, 임균성 요도염","32217,32196,32198,32187","감염내과, 
																비뇨의학과, 
																피부과",잠복 매독
33893,메리오이드증(Melioidosis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33893,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032353,"열, 오한, 사망, 호흡곤란, 객혈, 두통, 권태감, 근육통, 기침","SS000684,SS000687,SS000657,SS000908,SS000863,SS000284,SS000735,SS000618,SS000868","지역사회성 폐렴, 폐렴간균에 의한 폐렴, 폐렴, 병원 감염성 폐렴, 패혈증, 흡인성 폐렴","31742,32495,31631,31743,32319,32494",감염내과,"유비저균 감염증,멜리오이도시스"
32293,무른 궤양(Chancroid),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32293,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003719,"림프 부종, 환부의 분비물, 생식기 궤양","SS000635,SS000155,SS000457","성병, 매독","32221,31734","비뇨의학과, 
																산부인과","연성하감,헤모필루스 듀크레이균 감염"
31721,바이러스성 뇌수막염(Viral meningitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31721,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004282,"열, 두통, 혼수, 경련, 성격의변화, 뇌전증 발작, 경부 강직","SS000684,SS000284,SS000337,SS000598,SS000093,SS000591,SS000340","박테리아성 뇌수막염, 수족구병, 출혈성 결막염","31723,31605,32226","감염내과, 
																신경과, 
																소아신경과, 
																소아감염과","뇌막염,뇌수막염,뇌척수막염,뇌척수염,수막염"
31723,박테리아성 뇌수막염(Bacterial meningitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31723,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004240,"감기 증상, 오심, 열, 경부 강직, 경련, 두통, 혼수, 구토","SS000594,SS000416,SS000684,SS000340,SS000598,SS000284,SS000337,SS000386","폐렴, 바이러스성 뇌수막염, 대장균 감염, 인플루엔자, 리스테리아","31631,31721,31617,31620,31663","감염내과, 
																신경과",수막구균성수막염
33900,반코마이신 내성 장알균(VRE) 감염증(Vancomycin-Resistant Enterococci),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33900,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032360,"오한, 저혈압, 열","SS000687,SS000702,SS000684","요로 감염, 폐렴, 병원 감염성 폐렴, 폐렴간균에 의한 폐렴, 흡인성 폐렴, 지역사회성 폐렴, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 패혈증, 심내막염","30662,31631,31743,32495,32494,31742,31721,31723,32319,32143",감염내과,"반코마이신 내성 장구균 감염증,반코마이신 저항 장알균 감염증,VRE 균혈증"
33890,반코마이신 내성 황색포도알균(VRSA) 감염증(Vancomycin-Resistant Staphylococcus aureus),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33890,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032350,"저혈압, 열, 오한","SS000702,SS000684,SS000687",포도상구균 감염,31625,감염내과,"반코마이신 내성 황색포도상구균균(VRSA)감염증,반코마이신 저항 황색포도알균(VRSA) 감염증"
33894,발진열(Murine typhus),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33894,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032354,"근육통, 권태감, 두통, 열, 기침, 오한","SS000618,SS000735,SS000284,SS000684,SS000868,SS000687","파라티푸스, 장티푸스, 털진드기병","33880,32167,31746",감염내과,
33895,발진티푸스(Epidemic typhus),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33895,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000032355,"두통, 근육통, 권태감, 오한, 열","SS000284,SS000618,SS000735,SS000687,SS000684","장티푸스, 파라티푸스","32167,33880",감염내과,발진타이푸스
31628,방선균증(Actinomycosis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31628,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004416,"발한, 환부 통증, 체중감소, 열감, 두통, 기침, 열","SS000650,SS000730,SS000712,SS000685,SS000284,SS000868,SS000684",곰팡이 감염,31546,감염내과,방사선균증
31666,백일해(Pertussis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31666,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004062,"구토, 콧물, 결막염, 기침","SS000386,SS000748,SS000167,SS000868","결막염, 폐기종","32223,31849","감염내과, 
																호흡기내과",
